State,TotalVehicleRegistrations,LiquefiedPetroleumGases,NaturalGas,Ethanol,Electricity,Total,PercentageofTotalVehicleRegistrations
AL,4777127,1915,455,9810,503,12683,0.27
AK,740638,69,431,2189,23,2712,0.37
AZ,4456630,3923,11153,19777,4490,39343,0.88
AR,2149105,1242,292,2904,100,4538,0.21
CA,31774179,13371,42114,55867,33217,144569,0.45
CO,4290861,3262,1082,14784,228,19356,0.45
CT,3147578,290,420,4963,15,5688,0.18
DE,825971,57,30,2835,0,2922,0.35
FL,14973666,4270,1992,27143,288,33693,0.23
GA,7898900,7529,2012,16410,500,26451,0.33
HI,959458,1076,0,4594,279,5949,0.62
ID,1378190,381,267,4830,33,5511,0.40
IL,10428899,2402,3041,26819,176,32438,0.31
IN,5902984,3047,1116,8786,0,12949,0.22
IA,3499939,527,0,7028,153,7708,0.22
KS,2523661,886,254,5677,55,6872,0.27
KY,3660782,744,49,10946,63,11802,0.32
LA,4155050,1884,347,9534,530,12295,0.30
ME,1109583,550,22,1415,0,1987,0.18
MD,4637476,292,2034,16315,1246,19887,0.43
MA,5492915,446,2193,4881,1634,9154,0.17
MI,9566781,3582,561,18946,1319,24408,0.26
MN,5103416,1691,125,13269,51,15136,0.30
MS,2043799,2747,145,7869,49,10810,0.53
MO,5262661,3312,141,17210,71,20734,0.39
MT,1051986,413,15,3285,128,3841,0.37
NE,1854114,292,423,4538,0,5253,0.28
NV,1428336,3043,2188,5819,56,11106,0.78
NH,1283147,149,125,1440,211,1925,0.15
NJ,6955610,1557,4022,15245,118,20942,0.30
NM,1665882,1828,692,15358,23,17901,1.07
NY,10603274,2244,9521,16328,6296,34389,0.32
NC,5877269,4017,693,29422,1285,35417,0.60
ND,769213,165,18,3747,0,3930,0.51
OH,10184899,2769,1008,18267,392,22436,0.22
OK,3482984,790,3135,6207,361,10493,0.30
OR,3158341,471,1647,9580,1192,12890,0.41
PA,10403105,1030,2137,15482,95,18744,0.18
RI,815747,21,1105,1779,26,2931,0.36
SC,3767877,1715,239,15567,56,17577,0.47
SD,991249,97,27,6123,29,6276,0.63
TN,5276720,711,336,15008,61,16116,0.31
TX,17625064,54333,11594,49158,289,115374,0.65
UT,2713578,310,3545,6126,394,10375,0.38
VT,595651,76,19,1687,769,2551,0.43
VA,6222928,1600,1683,24400,316,27999,0.45
WA,4900522,1159,1646,14142,104,17051,0.35
WV,1484344,228,9,2347,16,2600,0.18
WI,5290857,1783,706,10196,66,12751,0.24
WY,693870,226,392,2186,7,2811,0.41
